source,translation,total_count,book_count,locked,status,books,aliases,notes
게이블,蓋博,0,0,True,manual_locked,,,manual locked
리그로우,里格勞,0,0,True,manual_locked,,,姓氏，單獨出現時不可翻成全名
리차드,理查,0,0,True,manual_locked,,,manual locked
리차드 타튼,理查・塔騰,0,0,True,manual_locked,,,manual locked
리타,麗塔,0,0,True,manual_locked,,,manual locked
일라이,伊萊,0,0,True,manual_locked,,,名字，單獨出現時不可翻成全名
일라이 리그로우,伊萊・里格勞,0,0,True,manual_locked,,,全名
정재의,鄭載義,0,0,True,manual_locked,,,manual locked
정창인,鄭昌仁,0,0,True,manual_locked,,,manual locked
정태의,鄭泰義,0,0,True,manual_locked,,,manual locked
카일,凱爾,0,0,True,manual_locked,,,manual locked
카일 리그로우,凱爾・里格勞,0,0,True,manual_locked,,,manual locked
정태의는,,4699,6,False,auto,passion1:896; passion2:918; passion3:1064; passion4:764; passion5:1011; passion6:46,,
않았다,,970,6,False,auto,passion1:159; passion2:172; passion3:234; passion4:187; passion5:203; passion6:15,,
정태의가,,944,6,False,auto,passion1:180; passion2:202; passion3:217; passion4:143; passion5:182; passion6:20,,
고개를,,877,6,False,auto,passion1:185; passion2:178; passion3:166; passion4:165; passion5:168; passion6:15,,
정태의의,,875,6,False,auto,passion1:163; passion2:157; passion3:207; passion4:135; passion5:194; passion6:19,,
말을,,833,6,False,auto,passion1:132; passion2:181; passion3:198; passion4:129; passion5:177; passion6:16,,
그렇게,,698,6,False,auto,passion1:132; passion2:152; passion3:150; passion4:117; passion5:132; passion6:15,,
정태의를,,629,6,False,auto,passion1:127; passion2:123; passion3:146; passion4:96; passion5:122; passion6:15,,
그의,,596,6,False,auto,passion1:117; passion2:91; passion3:108; passion4:123; passion5:143; passion6:14,,
하는,,523,6,False,auto,passion1:107; passion2:135; passion3:88; passion4:96; passion5:87; passion6:10,,
같은,,518,6,False,auto,passion1:122; passion2:128; passion3:116; passion4:83; passion5:57; passion6:12,,
있던,,497,6,False,auto,passion1:114; passion2:84; passion3:89; passion4:87; passion5:109; passion6:14,,
