character_id,status,locked,field,ko,en,zh_tw,note
CHAR000001,main,True,fullname,일라이 리그로우,Ilay Riegrow,伊萊・里格勞,全名翻全名，名字翻名字，姓氏翻姓氏
CHAR000001,main,True,firstname,일라이,Ilay,伊萊,全名翻全名，名字翻名字，姓氏翻姓氏
CHAR000001,main,True,lastname,리그로우,Riegrow,里格勞,全名翻全名，名字翻名字，姓氏翻姓氏
CHAR000002,main,True,single_name,정태의,Jeong Tae-ui,鄭泰義,韓文三字姓名，不拆姓氏與名字
CHAR000003,supporting,True,single_name,정재의,Jeong Jae-ui,鄭載義,韓文三字姓名，不拆姓氏與名字
CHAR000004,supporting,True,single_name,정창인,Jeong Chang-in,鄭昌仁,韓文三字姓名，不拆姓氏與名字
CHAR000005,supporting,True,fullname,카일 리그로우,Kyle Riegrow,凱爾・里格勞,與伊萊共用姓氏里格勞
CHAR000005,supporting,True,firstname,카일,Kyle,凱爾,與伊萊共用姓氏里格勞
CHAR000005,supporting,True,lastname,리그로우,Riegrow,里格勞,與伊萊共用姓氏里格勞
CHAR000006,supporting,True,fullname,리차드 타튼,Richard Tarten,理查・塔騰,全名翻全名，名字翻名字，姓氏翻姓氏
CHAR000006,supporting,True,firstname,리차드,Richard,理查,全名翻全名，名字翻名字，姓氏翻姓氏
CHAR000006,supporting,True,lastname,타튼,Tarten,塔騰,全名翻全名，名字翻名字，姓氏翻姓氏
CHAR000007,supporting,True,single_name,게이블,Gable,蓋博,單名
CHAR000008,supporting,True,single_name,리타,Rita,麗塔,單名
AUTO900001,auto_candidate,False,single_name,정태의는,,,auto imported from character_memory.json
AUTO900002,auto_candidate,False,single_name,않았다,,,auto imported from character_memory.json
AUTO900003,auto_candidate,False,single_name,정태의가,,,auto imported from character_memory.json
AUTO900004,auto_candidate,False,single_name,고개를,,,auto imported from character_memory.json
AUTO900005,auto_candidate,False,single_name,정태의의,,,auto imported from character_memory.json
AUTO900006,auto_candidate,False,single_name,말을,,,auto imported from character_memory.json
AUTO900007,auto_candidate,False,single_name,그렇게,,,auto imported from character_memory.json
AUTO900008,auto_candidate,False,single_name,정태의를,,,auto imported from character_memory.json
AUTO900009,auto_candidate,False,single_name,그의,,,auto imported from character_memory.json
AUTO900010,auto_candidate,False,single_name,하는,,,auto imported from character_memory.json
AUTO900011,auto_candidate,False,single_name,같은,,,auto imported from character_memory.json
AUTO900012,auto_candidate,False,single_name,있던,,,auto imported from character_memory.json
AUTO900013,auto_candidate,False,single_name,있을,,,auto imported from character_memory.json
AUTO900014,auto_candidate,False,single_name,라고,,,auto imported from character_memory.json
AUTO900015,auto_candidate,False,single_name,얼굴로,,,auto imported from character_memory.json
AUTO900016,auto_candidate,False,single_name,남자는,,,auto imported from character_memory.json
AUTO900017,auto_candidate,False,single_name,그가,,,auto imported from character_memory.json
AUTO900018,auto_candidate,False,single_name,하나,,,auto imported from character_memory.json
AUTO900019,auto_candidate,False,single_name,않은,,,auto imported from character_memory.json
